"market","address","floor","city","state","postal","status","LATA","NPA","NXX","CLLI","SWCLLI","type","entranece","latitude","longitude","vcoordinate","hoordinate"
"Kansas City, MO-KS","9725 Pflumm Rd","","Lenexa","KS","66215","Fiber Only","524","913","221","LENYKSCJ","KSCYKSLE","Mobile Service Center","Not Documented","38.9524710","-94.7415800","7067.20","4214.70"
"Seattle-Tacoma-Bellevue, WA","1000 Denny Way","1st Flr/Level 3","Seattle","WA","98109","On-Net","674","","205","STTNWAHO","STTLWA05","Office","Diverse","47.6190760","-122.3365000","6334.10","8896.70"
"Las Vegas-Paradise, NV","4500 W Tropicana Ave","","Las Vegas","NV","89103","Fiber Only","721","702","220","LSVGNVNO","LSVGNVXK","Casino","Not Documented","36.1031716","-115.2018200","8680.80","7418.60"
"Walla Walla, WA","6 1/2 N 2nd Ave","300","Walla Walla","WA","99362","Fiber Only","676","","","WLWLWACF","WLWLWA01","Office","","46.0669883","-118.3398887","6612.40","8268.30"
"Kansas City, MO-KS","10950 Strang Line Rd","","Lenexa","KS","66215","Fiber Only","524","913","221","LENYKSUY","KSCYKSLE","Neutral Data Center","Not Documented","38.9310980","-94.7531510","7072.20","4214.70"
"Las Vegas-Paradise, NV","2950 Industrial Rd","","Las Vegas","NV","89109","Fiber Only","721","702","698","LSVGNVIH","LSVGNVXG","Casino","Not Documented","36.1361634","-115.1730612","8672.90","7414.50"
"Las Vegas-Paradise, NV","740 S Decatur Blvd","3rd Fl Data Center","Las Vegas","NV","89107","On-Net","721","702","870","LSVJNV59","LSVGNVXH","Casino","Not Documented","36.1634752","-115.2073684","8668.10","7422.00"
"Las Vegas-Paradise, NV","3475 Las Vegas Strip","Basement","Las Vegas","NV","89109","On-Net","721","702","698","LSVGNVAJ","LSVGNVXG","Casino","Linear","36.1194502","-115.1717918","8676.40","7413.80"
"Las Vegas-Paradise, NV","475 Rock Quarry Way","1st Fl","North Las Vegas","NV","89032","On-Net","721","702","642","NLVGNVOQ","NLVGNVXF","Mobile Service Center","Dual","36.2218860","-115.1470380","8653.70","7414.00"
"Reno-Sparks, NV","1 E 1st St","5/524","Reno","NV","89501","On-Net Restricted","720","775","202","RENONVRS","RENONV02","Office","Not Documented","39.5260759","-119.8128920","8064.10","8323.80"
"Las Vegas-Paradise, NV","4505 S Maryland Pkwy","","Las Vegas","NV","89154","Fiber Only","721","702","698","LSVGNVBY","LSVGNVXL","College/University","Not Documented","36.1050557","-115.1394674","8677.50","7407.90"
"Reno-Sparks, NV","18600 Wedge Pkwy","","Reno","NV","89511","On-Net Restricted","720","775","850","RENPNVLU","RENONV14","College/University","Not Documented","39.3914911","-119.7654985","8092.20","8312.10"
"Minneapolis-St. Paul-Bloomington, MN-WI","420 3rd Ave S","1st Floor","Minneapolis","MN","55415","Fiber Only","628","612","973","MPLSMNAV","MPLSMNDT","Carrier POP","Not Documented","44.9780240","-93.2663300","5780.30","4525.60"
"Las Vegas-Paradise, NV","100 N City Pkwy","","Las Vegas","NV","89106","On-Net","721","702","223","LSVRNVPS","LSVGNVXB","Office","Linear","36.1738945","-115.1487087","8664.00","7412.30"
"Las Vegas-Paradise, NV","3655 Las Vegas Blvd S","Mezz/PBX","Las Vegas","NV","89109","On-Net","721","702","698","LSVJNVGN","LSVGNVXG","Casino","Linear","36.1124135","-115.1692051","8677.80","7413.30"
"Las Vegas-Paradise, NV","680 Pilot Rd","suite I","Las Vegas","NV","89119","On-Net","721","702","231","LSVLNVSI","LSVGNVXV","Office","Not Documented","36.0684540","-115.1488640","8686.60","7408.00"
"Las Vegas-Paradise, NV","770 Pilot Rd","","Las Vegas","NV","89119","On-Net","721","702","231","LSVLNV12","LSVGNVXV","Office","Not Documented","36.0635330","-115.1456270","8687.50","7407.20"
"Las Vegas-Paradise, NV","3790 S Las Vegas Blvd","","Las Vegas","NV","89109","Fiber Only","721","702","261","LSVGNVLX","LSVGNVXL","Casino","Not Documented","36.1024288","-115.1751040","8680.10","7413.80"
"Las Vegas-Paradise, NV","2305 N Buffalo Dr","","Las Vegas","NV","89128","Fiber Only","721","702","228","LSVRNVVI","LSVGNVXW","Local/State Government","Not Documented","36.2020967","-115.2618732","8661.60","7432.80"
"Las Vegas-Paradise, NV","3900 Las Vegas Blvd S","","Las Vegas","NV","89119","Fiber Only","721","702","261","LSVGNVKE","LSVGNVXL","Enterprise","Not Documented","36.0950207","-115.1764041","8681.80","7413.80"
"Las Vegas-Paradise, NV","1221 S Casino Center Blvd","","Las Vegas","NV","89104","Fiber Only","721","702","223","LSVGNVJQ","LSVGNVXB","Neutral Data Center","Linear","36.1563430","-115.1520760","8667.90","7412.10"
"Las Vegas-Paradise, NV","2057 E Maule Ave","","Las Vegas","NV","89119","Fiber Only","721","702","231","PRDSNV69","LSVGNVXV","Carrier POP","Not Documented","36.0631760","-115.1250180","8686.90","7403.60"
"Las Vegas-Paradise, NV","950 Grier Dr","","Las Vegas","NV","89119","On-Net","721","702","231","LSVGNVIP","LSVGNVXV","Office","Not Documented","36.0690669","-115.1418870","8686.20","7406.80"
"Las Vegas-Paradise, NV","4428 E Sahara Ave","","Las Vegas","NV","89104","Stubbed","721","702","431","LSVKNVKU","LSVGNVXM","Carrier POP","Dual","36.1447838","-115.0776607","8667.90","7398.70"
"Las Vegas-Paradise, NV","3600 S Las Vegas Blvd","","Las Vegas","NV","89109","Fiber Only","721","702","698","LSVHNVCK","LSVGNVXG","Casino","Not Documented","36.1132774","-115.1768547","8678.30","7414.90"
"Las Vegas-Paradise, NV","1085 Palms Airport Dr","","Las Vegas","NV","89119","Fiber Only","721","702","231","LSVGNVQR","LSVGNVXV","Office","Not Documented","36.0649715","-115.1382825","8687.00","7405.90"
"Las Vegas-Paradise, NV","2621 Losee Rd","","North Las Vegas","NV","89030","On-Net","721","702","642","NLVGNVAG","NLVGNVXF","Federal Government","Linear","36.2077710","-115.1365130","8656.30","7411.60"
"Reno-Sparks, NV","4001 S Virginia St","","Reno","NV","89502","On-Net Restricted","720","775","448","RENONVTC","RENONV13","Retail","Dual","39.4865720","-119.7952220","8072.30","8319.70"
"Las Vegas-Paradise, NV","2832 E Flamingo Rd","","Las Vegas","NV","89121","Fiber Only","721","702","698","LSVGNVUD","LSVGNVXG","Local/State Government","Not Documented","36.1144248","-115.1125241","8675.80","7403.40"
"Las Vegas-Paradise, NV","2515 Industrial Rd","","Las Vegas","NV","89109","Fiber Only","721","702","698","LSVJNVDY","LSVGNVXG","Office","Not Documented","36.1430448","-115.1658820","8671.10","7414.00"
"Reno-Sparks, NV","1316 Capital Blvd","","Reno","NV","89502","On-Net Restricted","720","775","202","RENQNV88","RENONV15","Office","Not Documented","39.5049478","-119.7505992","8067.30","8312.80"
"Salt Lake City, UT","1999 W 1700 S","","Salt Lake City","UT","84104","Fiber Only","660","801","844","SLKDUTDF","SLKCUTWE","Office","Not Documented","40.7317440","-111.9471069","7583.60","7074.20"
"Kansas City, MO-KS","1102 Grand Blvd","","Kansas City","MO","64106","On-Net","524","816","576","KSCYMOAV","KSCYMO55","Neutral Data Center","Not Documented","39.1008880","-94.5812350","7026.90","4202.50"
"Cleveland-Elyria-Mentor, OH","200 Public Sq","","Cleveland","OH","44114","Fiber Only","320","216","204","CLEVOHBJ","CLEVOH62","Office","Dual","41.5000680","-81.6914926","5574.90","2544.60"
"United Kingdom, GBR","1-5 Earl St","Basement/Suite B1.30/ODF","London","","EC2A 2AL","On-Net","","","","LONHEN49","","Office","Diverse","51.5208227","-0.0841938","",""
"United Kingdom, GBR","24 King William St","5th, COMMS ROOM /ODF","London","","EC4R 9AJ","Fiber Only","","","","LONGENEC","","Office","","51.5106672","-0.0870901","",""
"Kansas City, MO-KS","8007 Bond St","","Overland Park","KS","66214","On-Net","524","913","428","LENYKSTS","KSCYKSLE","Neutral Data Center","Dual","38.9831330","-94.7186510","7059.50","4213.80"
"Las Vegas-Paradise, NV","7660 W Cheyenne Ave","Data Center","Las Vegas","NV","89129","Fiber Only","721","702","228","LSVPNVFS","LSVGNVXW","Carrier POP","Linear","36.2187756","-115.2618865","8657.90","7433.80"
"United Kingdom, GBR","1-5 Earl St","Floor B/Suite B1.43/ODF","London","","EC2A 2AL","On-Net","","","","LONHEN49","","Office","Diverse","51.5208227","-0.0841938","",""
"Las Vegas-Paradise, NV","840 Grier Dr","","Las Vegas","NV","89119","Fiber Only","721","702","231","LSVINVEB","LSVGNVXV","Office","Not Documented","36.0710901","-115.1448615","8685.90","7407.40"
"Boise City-Nampa, ID","1725 E Warm Springs Ave","","Boise","ID","83712","Fiber Only","652","208","340","BOIUIDVI","BOISIDMA","Elementary School","Not Documented","43.6029777","-116.1740107","7096.20","7862.00"
"Las Vegas-Paradise, NV","3325 W Sunset Rd","","Las Vegas","NV","89118","On-Net","721","702","231","LSVPNVOD","LSVGNVXV","Office","Not Documented","36.0693825","-115.1845200","8687.30","7414.30"
"Kansas City, MO-KS","11120 Tomahawk Creek Pkwy","","Leawood","KS","66211","Fiber Only","524","913","234","LEWDKSFL","KSCYKSCB","Office","Not Documented","38.9259576","-94.6266690","7064.70","4194.50"
"United Kingdom, GBR","14 Coriander Ave, Telehouse North","Opal Suite/TFM10/Rack 10A","London","","E14 2AA","On-Net","","","","LONHEN13","","Neutral Data Center","Linear","51.5119810","-0.0019320","",""
"Cleveland-Elyria-Mentor, OH","1725 Euclid Ave","","Cleveland","OH","44115","Fiber Only","320","216","204","CLEAOH93","CLEVOH62","College/University","Not Documented","41.5016641","-81.6796863","5573.60","2543.10"
"Kansas City, MO-KS","7200 College Blvd","","Overland Park","KS","66210","On-Net","524","913","234","OVPLKSTJ","KSCYKSCB","Retail","Not Documented","38.9281110","-94.6694936","7067.20","4201.30"
"Reno-Sparks, NV","75 Court St","2","Reno","NV","89501","On-Net Restricted","720","775","202","RENPNV93","RENONV02","Local/State Government","Linear","39.5238507","-119.8129111","8064.60","8323.70"
"Reno-Sparks, NV","9390 Gateway Dr","2","Reno","NV","89521","On-Net Restricted","720","775","850","RENONVSH","RENONV14","Office","Not Documented","39.4473629","-119.7661742","8080.20","8313.80"
"Cleveland-Elyria-Mentor, OH","23000 Millcreek Blvd","","Beachwood","OH","44122","Fiber Only","320","216","581","HGHLOHAC","SHHGOH92","Office","Dual","41.4478977","-81.5197630","5569.60","2514.50"
"Cleveland-Elyria-Mentor, OH","4440 Warrensville Center Rd","","Cleveland","OH","44128","Fiber Only","320","216","283","WRHGOHBR","MPHGOH66","Office","Not Documented","41.4387527","-81.5380887","5572.80","2516.60"
"Cleveland-Elyria-Mentor, OH","1925 Payne Ave","","Cleveland","OH","44114","Fiber Only","320","216","204","CLEAOH15","CLEVOH62","Local/State Government","Not Documented","41.5052438","-81.6783092","5572.80","2543.40"
"Cleveland-Elyria-Mentor, OH","10620 Cedar Ave","","Cleveland","OH","44106","Fiber Only","320","216","229","CLEVOHMO","CLEVOH42","Office","Not Documented","41.4985992","-81.6125272","5568.30","2533.50"
"Houston-Sugar Land-Baytown, TX","1221 McKinney St","33rd FL, Ste 3375, Telco RM","Houston","TX","77010","Fiber Only","560","","228","HSTXTX30","HSTNTXCL","Office","","29.7561300","-95.3622700","8936.85","3536.12"
"Chicago-Joliet-Naperville, IL-IN-WI","180 W Adams St","Basement","Chicago","IL","60603","Fiber Only","358","","","CHCVIL56","CHCGILFR","Office","Linear","41.8794585","-87.6332898","",""
"Kansas City, MO-KS","711 E 19th St","","Kansas City","MO","64108","Fiber Only","524","816","576","KSCAMO96","KSCYMO55","Carrier POP","Not Documented","39.0894870","-94.5751820","7028.80","4200.60"
"Boise City-Nampa, ID","325 W State St","","Boise","ID","83702","Fiber Only","652","208","244","BOIUIDWZ","BOISIDMA","Local/State Government","Not Documented","43.6154983","-116.1953539","7094.10","7865.80"
"New York-Northern New Jersey-Long Island, NY-NJ-PA","1290 Avenue Of The Americas","","New York","NY","10104","Fiber Only","132","","218","NYCMNYSR","NYCMNY50","Office","","40.7607997","-73.9796117","4992.19","1407.30"
"Cleveland-Elyria-Mentor, OH","3711 Chester Ave","","Cleveland","OH","44114","On-Net","320","216","361","CLEVOHWQ","CLEVOH62","Office","Not Documented","41.5053800","-81.6610510","5571.30","2540.90"
"Phoenix-Mesa-Glendale, AZ","2411 W 14th St","FTP","Tempe","AZ","85281","Fiber Only","666","","","bld #","TEMPAZMA","College/University","Linear","33.4129960","-111.9754610","9136.80","6728.40"
"Kansas City, MO-KS","2530 Belleview Ave","","Kansas City","MO","64108","On-Net","524","816","576","KSCAMOSY","KSCYMO55","Office","Linear","39.0814139","-94.5967201","7031.70","4203.30"
"Boise City-Nampa, ID","1010 W Washington St","Prof Tech Center","Boise","ID","83702","Fiber Only","652","208","340","BOIUIDAO","BOISIDMA","High School","Not Documented","43.6211606","-116.2024998","7093.00","7867.00"
"Houston-Sugar Land-Baytown, TX","315 Capitol St","2nd Fl., Data Room","Houston","TX","77002","On-Net","560","","216","HSOPTXQH","HSTNTXCA","Office","","29.7623800","-95.3675100","8937.01","3536.98"
"United Kingdom, GBR","14 Coriander Ave, Telehouse North","3rd Floor/TFM10/Cab G16","London","","E14 2AA","On-Net","","","","LONHEN13","","Neutral Data Center","Linear","51.5119810","-0.0019320","",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","2100 M St NW","Lower Level, P110 Colo","Washington","DC","20037","Stubbed","236","202","882","WASHDC98","WASHDCGT","zColo Facility","","38.9048620","-77.0470110","5622.60","1585.80"
"Las Vegas-Paradise, NV","835 E Desert Inn Rd","1st Fl/LEC Colo","Las Vegas","NV","89109","On-Net","721","702","698","LSVGNVXG","LSVGNVXG","ILEC Central Office","Not Documented","36.1292509","-115.1451420","8673.40","7409.80"
"Las Vegas-Paradise, NV","1600 E Lake Mead Blvd","1st Fl","North Las Vegas","NV","89030","On-Net","721","702","642","NLVGNVXF","NLVGNVXF","ILEC Central Office","Linear","36.1962914","-115.1228090","8658.40","7408.70"
"Las Vegas-Paradise, NV","900 N Rancho Dr","","Las Vegas","NV","89107","Fiber Only","721","702","631","LSVRNVSO","LSVGNVXH","Retail","Not Documented","36.1815370","-115.1783386","8663.30","7417.90"
"Kansas City, MO-KS","10450 Holmes Rd","","Kansas City","MO","64131","Fiber Only","524","816","237","KSCYMO30","KSCYMO02","Office","Linear","38.9386338","-94.5835613","7059.30","4188.90"
"Las Vegas-Paradise, NV","2475 Arden St","2-2-F&G","Las Vegas","NV","89104","On-Net","721","702","431","LSVLNV23","LSVGNVXM","Zayo POP","","36.1445780","-115.0751740","8667.90","7398.30"
"Chicago-Joliet-Naperville, IL-IN-WI","1501 Opus Pl","1st Fl., Computer Room","Downers Grove","IL","60515","Fiber Only","358","","241","DWGVILBS","DWGVILDG","Office","","41.8274010","-88.0239030","6026.30","3476.20"
"Las Vegas-Paradise, NV","3131 S Las Vegas Blvd","","Las Vegas","NV","89109","Fiber Only","721","702","698","PRDSNVFH","LSVGNVXG","Casino","Not Documented","36.1265302","-115.1659270","8674.90","7412.90"
"Phoenix-Mesa-Glendale, AZ","14626 N 78th Way","FTP","Scottsdale","AZ","85260","Fiber Only","666","","","SCDOAZAZ","SCDLAZSH","Office","Linear","33.6185509","-111.9113700","9090.80","6727.20"
"Minneapolis-St. Paul-Bloomington, MN-WI","901 Marquette Ave","","Minneapolis","MN","55402","Fiber Only","628","651","797","MPLSMNDF","MPLSMNDT","Office","Linear","44.9739887","-93.2725531","5781.50","4526.20"
"Kansas City, MO-KS","4600 Madison Ave","Floor A, Parking Garage Communications Room","Kansas City","MO","64112","On-Net","524","816","340","KSCYMOID","KSCYMO05","Office","Not Documented","39.0445847","-94.5983434","7039.20","4200.30"
"Las Vegas-Paradise, NV","2239 Crestline Loop","","North Las Vegas","NV","89030","Fiber Only","721","702","642","NLVGNVFV","NLVGNVXF","Office","Not Documented","36.2003438","-115.1390428","8658.10","7411.70"
"Las Vegas-Paradise, NV","850 Las Vegas Blvd N","","Las Vegas","NV","89101","Fiber Only","721","702","223","LSVPNVBK","LSVGNVXB","Stadium/Arena","Not Documented","36.1793660","-115.1303730","8662.20","7409.40"
"Kansas City, MO-KS","1100 Main St","","Kansas City","MO","64105","Fiber Only","524","816","576","KSCYMOMC","KSCYMO55","Carrier POP","Not Documented","39.1003440","-94.5837570","7027.20","4202.90"
"San Jose-Sunnyvale-Santa Clara, CA","1350 Duane Ave","2nd FL., Cage 2765","Santa Clara","CA","95054","On-Net","722","","235","SNTCCAIE","SNTCCA01","Neutral Data Center","","37.3785210","-121.9549790","8574.00","8631.40"
"Reno-Sparks, NV","6880 Sierra Center Pkwy","","Reno","NV","89511","On-Net Restricted","720","775","850","RENQNV98","RENONV14","Office","Not Documented","39.4660232","-119.7779304","8076.40","8316.30"
"Las Vegas-Paradise, NV","4575 Boulder Hwy","1st Fl","Las Vegas","NV","89121","On-Net","721","702","433","LSVHNVVE","LSVGNVXR","Hotel & Inn","Not Documented","36.1244673","-115.0747872","8672.20","7397.50"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","801 22nd St NW","Level B2","Washington","DC","20052","Fiber Only","236","","","WASHDCAA","WASHDCMT","College/University","Linear","38.8999000","-77.0484910","5623.70","1585.00"
"Reno-Sparks, NV","3350 Lymbery St","","Reno","NV","89509","Stubbed","720","775","202","RENONV13","RENONV13","ILEC Central Office","Not Documented","39.4919260","-119.8015610","8071.30","8321.00"
"Kansas City, MO-KS","14400 College Blvd","","Lenexa","KS","66215","On-Net","524","913","234","LENXKSPU","KSCYKSLE","Office","Dual","38.9280456","-94.7508455","7072.60","4214.00"
"Cleveland-Elyria-Mentor, OH","1501 Euclid Ave","","Cleveland","OH","44115","Fiber Only","320","216","204","CLEVOHUG","CLEVOH62","Office","Not Documented","41.5012550","-81.6813846","5573.80","2543.30"
"Kansas City, MO-KS","1301 W 25th St","","Kansas City","MO","64108","Fiber Only","524","816","576","KSCAMOBZ","KSCYMO55","Carrier POP","Dual","39.0827259","-94.6003977","7031.80","4203.90"
"Las Vegas-Paradise, NV","4175 Cameron St","","Las Vegas","NV","89103","Fiber Only","721","","220","LSVHNVZL","LSVGNVXK","Office","Not Documented","36.1139975","-115.2045537","8678.60","7419.70"
"Kansas City, MO-KS","1105 E 31st St","","Kansas City","MO","64109","Fiber Only","524","816","576","KSCEMOXX","KSCYMO05","Office","Not Documented","39.0703601","-94.5710598","7032.30","4198.30"
"Las Vegas-Paradise, NV","6670 S Valley View Blvd","Server Room","Las Vegas","NV","89118","On-Net","721","702","231","LSVPNVCL","LSVGNVXV","Office","Linear","36.0687440","-115.1885410","8687.90","7415.00"
"Las Vegas-Paradise, NV","1670 Pinto Ln","","Las Vegas","NV","89106","Fiber Only","721","702","223","LSVPNVIN","LSVGNVXB","Local/State Government","Not Documented","36.1653110","-115.1639075","8666.30","7414.50"
"Kansas City, MO-KS","10605 W 84th Ter","","Overland Park","KS","66214","On-Net","524","816","579","LENXKSGD","KSCYKSLE","Neutral Data Center","Linear","38.9752690","-94.7089150","7060.50","4211.60"
"Cleveland-Elyria-Mentor, OH","2121 Euclid Ave","","Cleveland","OH","44115","Fiber Only","320","216","204","CLEAOH37","CLEVOH62","College/University","Not Documented","41.5021601","-81.6753063","5573.60","2543.10"
"Las Vegas-Paradise, NV","8345 W Sunset Rd","","Las Vegas","NV","89113","Fiber Only","721","702","231","SRVYNVCO","LSVGNVXK","Office","Linear","36.0673883","-115.2719157","8690.70","7429.50"
"United Kingdom, GBR","47 Millharbour","1st Floor/MMR1/ODF 1D","London","","E14 9TR","On-Net Restricted","","","","LONDENDE","","Neutral Data Center","Linear","51.4968567","-0.0188127","",""
"Kansas City, MO-KS","4801 N College Ave","","Kansas City","MO","64119","Fiber Only","524","816","413","KSCGMO13","KSCYMO21","Clinic","Linear","39.1808293","-94.5414632","7008.40","4203.30"
"United Kingdom, GBR","2 Buckingham Ave","Ground Floor/Suite EFX1/Rack B02","Slough","","SL1 4NB","On-Net","","","","SLGHEN29","","Neutral Data Center","Linear","51.5234469","-0.6361420","",""
"Boise City-Nampa, ID","350 N Mitchell St","1st Fl","Boise","ID","83704","On-Net","652","208","321","BOITID04","BOISIDWE","Zayo POP","Not Documented","43.6079400","-116.3035320","7098.40","7882.40"
"Boise City-Nampa, ID","927 W Myrtle St","","Boise","ID","83702","Fiber Only","652","208","340","BSCYIDAN","BOISIDMA","Clinic","Not Documented","43.6131272","-116.2079320","7094.90","7867.70"
"Boise City-Nampa, ID","5870 N Glenwood St","","Garden City","ID","83714","Fiber Only","652","208","229","GRCYIDAN","BOISIDNW","Local/State Government","Not Documented","43.6583308","-116.2791277","7086.90","7880.30"
"Las Vegas-Paradise, NV","13 E Ogden Ave","2/MD","Las Vegas","NV","89101","Fiber Only","721","702","223","LSVONVEW","LSVGNVXB","Casino","Not Documented","36.1729890","-115.1449829","8664.00","7411.50"
"Boise City-Nampa, ID","1507 N 28th St","","Boise","ID","83703","Fiber Only","652","208","340","BOIUIDVD","BOISIDMA","Elementary School","Not Documented","43.6340036","-116.2238357","7090.80","7870.80"
"Cleveland-Elyria-Mentor, OH","205 W Saint Clair Ave","","Cleveland","OH","44113","Fiber Only","320","216","204","CLEWOHML","CLEVOH62","Local/State Government","Not Documented","41.5005637","-81.6958818","5575.10","2545.30"
"Boise City-Nampa, ID","1630 N Maple Grove Rd","1st Fl LEC Colo","Boise","ID","83704","On-Net","652","208","321","BOISIDWE","BOISIDWE","ILEC Central Office","Not Documented","43.6203152","-116.2936543","7095.50","7881.30"
"Boise City-Nampa, ID","1015 N Liberty St","","Boise","ID","83704","Fiber Only","652","208","321","BOIUIDUZ","BOISIDWE","Clinic","Not Documented","43.6132458","-116.2590091","7096.10","7876.00"
"Boise City-Nampa, ID","5550 W Morris Hill Rd","","Boise","ID","83706","Fiber Only","652","208","321","BOIUIDXV","BOISIDMA","Local/State Government","Not Documented","43.6085733","-116.2502619","7096.90","7874.10"
"Boise City-Nampa, ID","730 N Mitchell St","","Boise","ID","83704","Fiber Only","652","208","321","BOIUIDYE","BOISIDWE","Elementary School","Not Documented","43.6117220","-116.3030192","7097.70","7882.50"
"United Kingdom, GBR","260-266 Goswell Rd","2nd Fl Comms Rm/Level 3/MMF/CAB 27.04","London","","EC1V 7EB","On-Net","","","","LONDENEH","","Neutral Data Center","Linear","51.5289600","-0.1001530","",""
"Boise City-Nampa, ID","3704 N Middleton Rd","2nd Fl","Nampa","ID","83687","On-Net","652","208","453","NMPAIDCY","NMPAIDMA","Manufacturing/Transportation","Linear","43.6140845","-116.6080912","7104.00","7931.10"
"Boise City-Nampa, ID","911 N Mountain Cove Rd","","Boise","ID","83702","Fiber Only","652","208","340","BOIUIDYQ","BOISIDMA","Office","Not Documented","43.6184524","-116.1864958","7093.30","7864.40"
"Boise City-Nampa, ID","500 N VA Hospital Loop","","Boise","ID","83702","Fiber Only","652","","","BOIUIDUW","BOISIDMA","Federal Government","Not Documented","43.6208886","-116.1901020","7092.70","7865.20"
"Boise City-Nampa, ID","334 S Cole Rd","","Boise","ID","83709","Fiber Only","652","208","321","BOIUIDXA","BOISIDSW","Elementary School","Not Documented","43.6006710","-116.2732220","7099.20","7877.40"
"Boise City-Nampa, ID","5015 N Pierce Park Ln","","Garden City","ID","83714","Fiber Only","652","208","853","BOIUIDXS","BOISIDNW","Elementary School","Not Documented","43.6662028","-116.2691121","7085.10","7879.00"
"Kansas City, MO-KS","6213 Holmes St","","Kansas City","MO","64110","Stubbed","524","816","276","KSCYMO02","KSCYMO02","ILEC Central Office","Not Documented","39.0137110","-94.5786820","7044.10","4194.60"
"Kansas City, MO-KS","1101 McGee St","","Kansas City","MO","64106","Stubbed","524","816","576","KSCYMO55","KSCYMO55","ILEC Central Office","Not Documented","39.1006850","-94.5793520","7026.90","4202.20"
"Las Vegas-Paradise, NV","1 Aerojet Way","1/Level 3 Data Center","North Las Vegas","NV","89030","On-Net Restricted","721","702","642","NLVGNVBV","NLVGNVXF","Carrier POP","Not Documented","36.2362773","-115.1176234","8649.60","7409.50"
"Boise City-Nampa, ID","8301 W Sloan St","","Garden City","ID","83714","Fiber Only","652","208","853","BOIUIDYM","BOISIDNW","Elementary School","Not Documented","43.6819480","-116.2900518","7082.00","7882.90"
"San Francisco-Oakland-Fremont, CA","475 Brannan St","1st FL, Data Room 100","San Francisco","CA","94107","On-Net","722","","222","SNFDCABN","SNFCCA21","Office","","37.7786400","-122.3954000","8495.75","8716.75"
"Kansas City, MO-KS","7500 College Blvd","","Overland Park","KS","66210","Fiber Only","524","913","234","OVPKKSDQ","KSCYKSCB","Office","Linear","38.9291274","-94.6729444","7067.20","4202.10"
"Boise City-Nampa, ID","6300 W Denton St","","Boise","ID","83704","Fiber Only","652","208","321","BOISIDHU","BOISIDWE","Local/State Government","Not Documented","43.6106356","-116.2597816","7096.70","7875.70"
"Boise City-Nampa, ID","8854 W Emerald St","","Boise","ID","83704","Fiber Only","652","208","321","BOIUIDDG","BOISIDWE","Clinic","Not Documented","43.6123462","-116.2924363","7097.20","7880.80"
"Las Vegas-Paradise, NV","901 S Rampart Blvd","","Las Vegas","NV","89145","Fiber Only","721","702","228","LSVMNVPF","LSVGNVXW","Office","Not Documented","36.1618849","-115.2918752","8671.30","7436.70"
"Boise City-Nampa, ID","200 S Latah St","","Boise","ID","83705","Fiber Only","652","208","244","BOIUIDVL","BOISIDMA","Elementary School","Not Documented","43.6021318","-116.2279772","7097.70","7870.40"
"Kansas City, MO-KS","6329 Glenwood St","","Mission","KS","66202","Fiber Only","524","913","534","OVPKKSOX","KSCYKSJO","Office","Not Documented","39.0120255","-94.6618755","7050.00","4207.40"
"Boise City-Nampa, ID","9222 W Barnes Dr","","Boise","ID","83709","On-Net","652","208","321","BOITIDRV","BOISIDSW","Office","Not Documented","43.5936110","-116.2967577","7101.30","7880.80"
"Boise City-Nampa, ID","3031 W Elder St","","Boise","ID","83705","Fiber Only","652","208","244","BOISIDYO","BOISIDMA","Office","Not Documented","43.5727633","-116.2190860","7103.80","7868.10"
"Boise City-Nampa, ID","3434 W Pasadena Dr","","Boise","ID","83705","Fiber Only","652","208","244","BOIUIDXC","BOISIDMA","Elementary School","Not Documented","43.5755781","-116.2245825","7103.40","7868.90"
"Dallas-Fort Worth-Arlington, TX","5950 Sherry Ln","3rd Fl, Suite 320","Dallas","TX","75225","Fiber Only","552","","234","DLLFTXJC","DLLSTXEM","Office","","32.8620412","-96.8109931","8421.00","4043.40"
"Boise City-Nampa, ID","6533 W Emerald St","","Boise","ID","83704","Fiber Only","652","208","321","BOIUIDYB","BOISIDWE","Clinic","Not Documented","43.6115528","-116.2624644","7096.60","7876.10"
"Boise City-Nampa, ID","10790 W Franklin Rd","","Boise","ID","83709","Fiber Only","652","208","321","BOISIDGW","BOISIDSW","Local/State Government","Not Documented","43.6059173","-116.3180829","7099.10","7884.40"
"Boise City-Nampa, ID","3041 W Pasadena Dr","","Boise","ID","83705","Fiber Only","652","208","244","BOIUIDWS","BOISIDMA","Office","Not Documented","43.5749420","-116.2191505","7103.40","7868.20"
"Boise City-Nampa, ID","10000 W Amity Rd","","Boise","ID","83709","Fiber Only","652","208","362","BOIUIDUY","BOISIDSW","Elementary School","Not Documented","43.5620549","-116.3065587","7108.30","7881.20"
"Boise City-Nampa, ID","2800 S Maple Grove Rd","","Boise","ID","83709","Fiber Only","652","208","362","BOIUIDWO","BOISIDSW","Elementary School","Not Documented","43.5777514","-116.2931330","7104.70","7879.70"
"Scranton--Wilkes-Barre, PA","321 Spruce St","Zayo FTT Cabinet","Scranton","PA","18503","On-Net","232","570","969","SCTNPAWS","SCTNPASC","Office","","41.4094230","-75.6661019","5042.40","1715.30"
